name,price,url,city,params,year,mileage,engine_volume,horse_power,date
"Solaris HC, 2024",2699000,https://auto.drom.ru/moscow/solaris-agr/hc/875086884.html,Москва,"1.6 л (123 л.с.) | , | бензин | , | АКПП | , | передний | 1.6 л (123 л.с.), | бензин, | АКПП, | передний",,,1.6,6.0,4 часа назад
"Solaris HC, 2025",2728000,https://auto.drom.ru/moscow/solaris-agr/hc/874389031.html,Москва,"1.6 л (123 л.с.) | , | бензин | , | АКПП | , | передний | 1.6 л (123 л.с.), | бензин, | АКПП, | передний",,,1.6,6.0,4 часа назад
"Skoda Superb, 2025",3700000,https://auto.drom.ru/moscow/skoda/superb/873753606.html,Москва,"1.4 л (150 л.с.) | , | бензин | , | робот | , | передний | 1.4 л (150 л.с.), | бензин, | робот, | передний",,,1.4,4.0,4 часа назад
"Changan Eado Plus, 2024",2509900,https://auto.drom.ru/moscow/changan/eado_plus/873774976.html,Москва,"1.4 л (155 л.с.) | , | бензин | , | робот | , | передний | 1.4 л (155 л.с.), | бензин, | робот, | передний",,,1.4,4.0,4 часа назад
"Geely Okavango, 2024",3847190,https://auto.drom.ru/moscow/geely/okavango/872390911.html,Москва,"2.0 л (200 л.с.) | , | бензин | , | робот | , | передний | 2.0 л (200 л.с.), | бензин, | робот, | передний",,,2.0,0.0,4 часа назад
"Changan Eado Plus, 2024",2439900,https://auto.drom.ru/moscow/changan/eado_plus/871645552.html,Москва,"1.4 л (155 л.с.) | , | бензин | , | робот | , | передний | 1.4 л (155 л.с.), | бензин, | робот, | передний",,,1.4,4.0,4 часа назад
"Skoda Karoq, 2025",4500000,https://auto.drom.ru/moscow/skoda/karoq/871715613.html,Москва,"1.5 л (150 л.с.) | , | бензин | , | робот | , | передний | 1.5 л (150 л.с.), | бензин, | робот, | передний",,,1.5,5.0,4 часа назад
"Changan Eado Plus, 2024",2509900,https://auto.drom.ru/moscow/changan/eado_plus/871105580.html,Москва,"1.4 л (155 л.с.) | , | бензин | , | робот | , | передний | 1.4 л (155 л.с.), | бензин, | робот, | передний",,,1.4,4.0,4 часа назад
"Changan Eado Plus, 2024",2439900,https://auto.drom.ru/moscow/changan/eado_plus/870531483.html,Москва,"1.4 л (155 л.с.) | , | бензин | , | робот | , | передний | 1.4 л (155 л.с.), | бензин, | робот, | передний",,,1.4,4.0,4 часа назад
"Mitsubishi Carisma, 2001",190000,https://auto.drom.ru/moscow/mitsubishi/carisma/870587203.html,Москва,"1.6 л (103 л.с.) | , | бензин | , | механика | , | передний | , | 190 000 км | 1.6 л (103 л.с.), | бензин, | механика, | передний, | 190 000 км",,190000.0,1.6,6.0,4 часа назад
"Haval Jolion, 2025",2799000,https://auto.drom.ru/moscow/haval/jolion/869877520.html,Москва,"1.5 л (150 л.с.) | , | бензин | , | робот | , | 4WD | 1.5 л (150 л.с.), | бензин, | робот, | 4WD",,,1.5,5.0,4 часа назад
"Changan Lamore, 2024",2869900,https://auto.drom.ru/moscow/changan/lamore/869931951.html,Москва,"1.5 л (181 л.с.) | , | бензин | , | робот | , | передний | 1.5 л (181 л.с.), | бензин, | робот, | передний",,,1.5,5.0,4 часа назад
"Kia Cerato, 2018",1650000,https://auto.drom.ru/moscow/kia/cerato/869961000.html,Москва,"1.6 л (130 л.с.) | , | бензин | , | АКПП | , | передний | , | 87 000 км | 1.6 л (130 л.с.), | бензин, | АКПП, | передний, | 87 000 км",,87000.0,1.6,6.0,4 часа назад
"Jaecoo J7, 2025",3129900,https://auto.drom.ru/moscow/jaecoo/j7/868791761.html,Москва,"1.6 л (150 л.с.) | , | бензин | , | робот | , | 4WD | 1.6 л (150 л.с.), | бензин, | робот, | 4WD",,,1.6,6.0,4 часа назад
"Solaris KRX, 2025",2496000,https://auto.drom.ru/moscow/solaris-agr/krx/868012020.html,Москва,"1.6 л (123 л.с.) | , | бензин | , | АКПП | , | передний | 1.6 л (123 л.с.), | бензин, | АКПП, | передний",,,1.6,6.0,4 часа назад
"Лада Веста, 2020",943000,https://auto.drom.ru/moscow/lada/vesta/868032975.html,Москва,"1.6 л (113 л.с.) | , | бензин | , | вариатор | , | передний | , | 65 540 км | 1.6 л (113 л.с.), | бензин, | вариатор, | передний, | 65 540 км",,65540.0,1.6,6.0,4 часа назад
"Mazda CX-5, 2025",4390000,https://auto.drom.ru/moscow/mazda/cx-5/867531357.html,Москва,"2.0 л (155 л.с.) | , | бензин | , | АКПП | , | передний | 2.0 л (155 л.с.), | бензин, | АКПП, | передний",,,2.0,0.0,4 часа назад
"Changan Eado Plus, 2024",2509900,https://auto.drom.ru/moscow/changan/eado_plus/864584817.html,Москва,"1.4 л (155 л.с.) | , | бензин | , | робот | , | передний | 1.4 л (155 л.с.), | бензин, | робот, | передний",,,1.4,4.0,4 часа назад
"Lexus LX570, 2012",5800000,https://auto.drom.ru/moscow/lexus/lx570/864631967.html,Москва,"5.7 л (367 л.с.) | , | бензин | , | АКПП | , | 4WD | , | 72 000 км | 5.7 л (367 л.с.), | бензин, | АКПП, | 4WD, | 72 000 км",,72000.0,5.7,7.0,4 часа назад
"KG Mobility Torres, 2024",4540000,https://auto.drom.ru/moscow/kg_mobility/torres/863945655.html,Москва,"1.5 л (163 л.с.) | , | бензин | , | АКПП | , | передний | 1.5 л (163 л.с.), | бензин, | АКПП, | передний",,,1.5,5.0,4 часа назад
"Solaris HC, 2025",2628000,https://auto.drom.ru/moscow/solaris-agr/hc/864087082.html,Москва,"1.6 л (123 л.с.) | , | бензин | , | АКПП | , | передний | 1.6 л (123 л.с.), | бензин, | АКПП, | передний",,,1.6,6.0,4 часа назад
